"";"grids";"species";"genus";"family";"order";"class";"phylum";"localty";"bssOfRc";"taxnRnk";"occrrnS";"year";"source";"SURFACE";"newscientificname";"count";"geometry"
"1";"cell_3.1005";"Ophionotus hexactis";"Ophionotus";"Ophiuridae";"Ophiurida";"Ophiuroidea";"Echinodermata";"S. Georgia";"HUMAN_OBSERVATION";"SPECIES";NA;"1981";"baq";NA;"Ophionotus_hexactis";2;c(2263409.67106219, 3163444.79651161)
"2";"cell_3.1005";"Ophioperla koehleri";"Ophioperla";"Ophiopyrgidae";"Ophiurida";"Ophiuroidea";"Echinodermata";"S. Georgia";"HumanObservation";NA;NA;"1981";"obis";NA;"Ophioperla_koehleri";2;c(2263409.67106219, 3163444.79651161)
"3";"cell_3.101";"Amphiura belgicae";"Amphiura";"Amphiuridae";"Amphilepidida";"Ophiuroidea";"Echinodermata";"Marie Byrd Land, Edward VII Peninsula, Off North Tip Of Peninsula";"PRESERVED_SPECIMEN";"SPECIES";"PRESENT";"1960";"baq";NA;"Amphiura_belgicae";10;c(-532002.515165036, -1335506.1246423)
"4";"cell_3.101";"Amphiura belgicae";"Amphiura";"Amphiuridae";"Amphilepidida";"Ophiuroidea";"Echinodermata";"Marie Byrd Land, Cape Colbeck";"PreservedSpecimen";NA;NA;"1960";"obis";NA;"Amphiura_belgicae";10;c(-531932.587498645, -1335533.97839816)
"5";"cell_3.101";"Amphiura joubini";"Amphiura";"Amphiuridae";"Amphilepidida";"Ophiuroidea";"Echinodermata";"Marie Byrd Land, Edward VII Peninsula, Off North Tip Of Peninsula";"PRESERVED_SPECIMEN";"SPECIES";"PRESENT";"1960";"gbif";NA;"Amphiura_joubini";10;c(-532002.515165036, -1335506.1246423)
"6";"cell_3.101";"Amphiura joubini";"Amphiura";"Amphiuridae";"Amphilepidida";"Ophiuroidea";"Echinodermata";"Marie Byrd Land, Cape Colbeck";"PreservedSpecimen";NA;NA;"1960";"obis";NA;"Amphiura_joubini";10;c(-531932.587498645, -1335533.97839816)
"7";"cell_3.101";"Glaciacantha dubium";"Glaciacantha";"Ophiopyrgidae";"Ophiurida";"Ophiuroidea";"Echinodermata";"Marie Byrd Land, Off Saunders Coast";"PreservedSpecimen";NA;NA;"1960";"obis";NA;"Glaciacantha_dubium";10;c(-604163.268155228, -1377432.62733851)
"8";"cell_3.101";"Ophiacantha antarctica";"Ophiacantha";"Ophiacanthidae";"Ophiacanthida";"Ophiuroidea";"Echinodermata";"Marie Byrd Land, Off Saunders Coast";"PRESERVED_SPECIMEN";"SPECIES";"PRESENT";"1960";"baq";NA;"Ophiacantha_antarctica";10;c(-604091.145123373, -1377464.25936509)
"9";"cell_3.101";"Ophiacantha antarctica";"Ophiacantha";"Ophiacanthidae";"Ophiacanthida";"Ophiuroidea";"Echinodermata";"Marie Byrd Land, Off Saunders Coast";"PreservedSpecimen";NA;NA;"1960";"obis";NA;"Ophiacantha_antarctica";10;c(-604163.268155228, -1377432.62733851)
"10";"cell_3.101";"Ophiacantha paramedea";"Ophiacantha";"Ophiacanthidae";"Ophiacanthida";"Ophiuroidea";"Echinodermata";"Marie Byrd Land, Cape Colbeck";"PreservedSpecimen";NA;NA;"1960";"obis";NA;"Ophiacantha_paramedea";10;c(-531932.587498645, -1335533.97839816)
