"";"grids";"newscientificname";"species";"genus";"family";"order";"class";"phylum";"localty";"bssOfRc";"taxnRnk";"occrrnS";"year";"source";"SURFACE";"X";"Y";"n.x";"ED_tot.x";"topED_5";"count.x";"ED_tot.y";"n.y";"count.y";"geometry"
"1";"cell_3.1000";"Nymphon_proceroides";"Nymphon_proceroides";"Nymphon";"Nymphonidae";"Pantopoda";"Pycnogonida";"Arthropoda";NA;"HumanObservation";NA;NA;"2002";"obis";NA;1354242,03531966;2061119,02511625;57;165,196707226562;NA;7;165,196707226562;57;7;c(1354242.03531966, 2061119.02511625)
"2";"cell_3.1000";"Nymphon_longicoxa";"Nymphon_longicoxa";"Nymphon";"Nymphonidae";"Pantopoda";"Pycnogonida";"Arthropoda";NA;"HumanObservation";NA;NA;"1992";"obis";NA;1379515,75646247;2078966,38196951;63;165,196707226562;NA;7;165,196707226562;63;7;c(1379515.75646247, 2078966.38196951)
"3";"cell_3.1000";"Pallenopsis_villosa";"Pallenopsis_villosa";"Pallenopsis";"Pallenopsidae";"Pantopoda";"Pycnogonida";"Arthropoda";NA;"HumanObservation";NA;NA;"2003";"obis";NA;1325170,77753616;2015592,98931811;39;251,8594390625;NA;7;251,8594390625;39;7;c(1325170.77753616, 2015592.98931811)
"4";"cell_3.1000";"Nymphon_australe";"Nymphon_australe";"Nymphon";"Nymphonidae";"Pantopoda";"Pycnogonida";"Arthropoda";NA;"HumanObservation";NA;NA;"1995";"obis";NA;1379515,75646247;2078966,38196951;676;165,196707226562;NA;7;165,196707226562;676;7;c(1379515.75646247, 2078966.38196951)
"5";"cell_3.1000";"Austropallene_cornigera";"Austropallene_cornigera";"Austropallene";"Callipallenidae";"Pantopoda";"Pycnogonida";"Arthropoda";NA;"HumanObservation";NA;NA;"2011";"obis";NA;1325170,77753616;2015592,98931811;505;150,89039140625;NA;7;150,89039140625;505;7;c(1325170.77753616, 2015592.98931811)
"6";"cell_3.1000";"Nymphon_australe";"Nymphon_australe";"Nymphon";"Nymphonidae";"Pantopoda";"Pycnogonida";"Arthropoda";NA;"HumanObservation";NA;NA;"2011";"obis";NA;1354242,03531966;2061119,02511625;676;165,196707226562;NA;7;165,196707226562;676;7;c(1354242.03531966, 2061119.02511625)
"7";"cell_3.1000";"Pallenopsis_pilosa";"Pallenopsis_pilosa";"Pallenopsis";"Pallenopsidae";"Pantopoda";"Pycnogonida";"Arthropoda";NA;"HumanObservation";NA;NA;"1995";"obis";NA;1325170,77753616;2015592,98931811;175;251,8594390625;NA;7;251,8594390625;175;7;c(1325170.77753616, 2015592.98931811)
"8";"cell_3.1000";"Nymphon_proximum";"Nymphon_proximum";"Nymphon";"Nymphonidae";"Pantopoda";"Pycnogonida";"Arthropoda";NA;"HumanObservation";NA;NA;"2008";"obis";NA;1325170,77753616;2015592,98931811;60;165,196707226562;NA;7;165,196707226562;60;7;c(1325170.77753616, 2015592.98931811)
"9";"cell_3.1000";"Nymphon_proximum";"Nymphon_proximum";"Nymphon";"Nymphonidae";"Pantopoda";"Pycnogonida";"Arthropoda";NA;"HumanObservation";NA;NA;"1999";"obis";NA;1354242,03531966;2061119,02511625;60;165,196707226562;NA;7;165,196707226562;60;7;c(1354242.03531966, 2061119.02511625)
"10";"cell_3.101";"Austropallene_cornigera";"Austropallene_cornigera";"Austropallene";"Callipallenidae";"Pantopoda";"Pycnogonida";"Arthropoda";NA;"PRESERVED_SPECIMEN";"SPECIES";"PRESENT";"1972";"gbif";NA;-513169,800403215;-1336713,56862465;505;150,89039140625;NA;4;150,89039140625;505;4;c(-513169.800403215, -1336713.56862465)
"11";"cell_3.101";"Colossendeis_tortipalpis";"Colossendeis_tortipalpis";"Colossendeis";"Colossendeidae";"Pantopoda";"Pycnogonida";"Arthropoda";NA;"HumanObservation";NA;NA;"2011";"obis";NA;-513323,08669395;-1336666,59497002;89;174,545296875;NA;4;174,545296875;89;4;c(-513323.08669395, -1336666.59497002)
"12";"cell_3.101";"Austropallene_cornigera";"Austropallene_cornigera";"Austropallene";"Callipallenidae";"Pantopoda";"Pycnogonida";"Arthropoda";"Marie Byrd Land, Edward VII Peninsula, Off North Tip Of Peninsula";"PRESERVED_SPECIMEN";"SPECIES";"PRESENT";"1960";"gbif";NA;-532002,515165036;-1335506,1246423;505;150,89039140625;NA;4;150,89039140625;505;4;c(-532002.515165036, -1335506.1246423)
"13";"cell_3.101";"Austropallene_cornigera";"Austropallene_cornigera";"Austropallene";"Callipallenidae";"Pantopoda";"Pycnogonida";"Arthropoda";"Marie Byrd Land, Off Saunders Coast";"PRESERVED_SPECIMEN";"SPECIES";"PRESENT";"1960";"baq";NA;-604091,145123373;-1377464,25936509;505;150,89039140625;NA;4;150,89039140625;505;4;c(-604091.145123373, -1377464.25936509)
"14";"cell_3.101";"Austropallene_cornigera";"Austropallene_cornigera";"Austropallene";"Callipallenidae";"Pantopoda";"Pycnogonida";"Arthropoda";"Victoria Land, Edward VII Peninsula, Off Cape Colbeck";"PreservedSpecimen";NA;NA;"1960";"obis";NA;-531932,587498645;-1335533,97839816;505;150,89039140625;NA;4;150,89039140625;505;4;c(-531932.587498645, -1335533.97839816)
"15";"cell_3.101";"Austropallene_cornigera";"Austropallene_cornigera";"Austropallene";"Callipallenidae";"Pantopoda";"Pycnogonida";"Arthropoda";"Marie Byrd Land, Off Edward Vii Peninsula";"PreservedSpecimen";NA;NA;"1960";"obis";NA;-604163,268155228;-1377432,62733851;505;150,89039140625;NA;4;150,89039140625;505;4;c(-604163.268155228, -1377432.62733851)
"16";"cell_3.101";"Austropallene_cornigera";"Austropallene_cornigera";"Austropallene";"Callipallenidae";"Pantopoda";"Pycnogonida";"Arthropoda";NA;"HumanObservation";NA;NA;NA;"obis";NA;-513323,08669395;-1336666,59497002;505;150,89039140625;NA;4;150,89039140625;505;4;c(-513323.08669395, -1336666.59497002)
"17";"cell_3.101";"Austrodecus_glaciale";"Austrodecus_glaciale";"Austrodecus";"Austrodecidae";"Pantopoda";"Pycnogonida";"Arthropoda";"Marie Byrd Land, Edward VII Peninsula, Off North Tip Of Peninsula";"PRESERVED_SPECIMEN";"SPECIES";"PRESENT";"1960";"gbif";NA;-532002,515165036;-1335506,1246423;299;278,2405875;NA;4;278,2405875;299;4;c(-532002.515165036, -1335506.1246423)
"18";"cell_3.101";"Austrodecus_glaciale";"Austrodecus_glaciale";"Austrodecus";"Austrodecidae";"Pantopoda";"Pycnogonida";"Arthropoda";NA;"HumanObservation";NA;NA;"2008";"obis";NA;-513323,08669395;-1336666,59497002;299;278,2405875;NA;4;278,2405875;299;4;c(-513323.08669395, -1336666.59497002)
"19";"cell_3.101";"Achelia_spicata";"Achelia_spicata";"Achelia";"Ammotheidae";"Pantopoda";"Pycnogonida";"Arthropoda";NA;"HumanObservation";NA;NA;"2013";"obis";NA;-513323,08669395;-1336666,59497002;166;211,57285078125;NA;4;211,57285078125;166;4;c(-513323.08669395, -1336666.59497002)
"20";"cell_3.101";"Austrodecus_glaciale";"Austrodecus_glaciale";"Austrodecus";"Austrodecidae";"Pantopoda";"Pycnogonida";"Arthropoda";"Victoria Land, Edward VII Peninsula, Off Cape Colbeck";"PreservedSpecimen";NA;NA;"1960";"obis";NA;-531932,587498645;-1335533,97839816;299;278,2405875;NA;4;278,2405875;299;4;c(-531932.587498645, -1335533.97839816)
"21";"cell_3.101";"Austropallene_cornigera";"Austropallene_cornigera";"Austropallene";"Callipallenidae";"Pantopoda";"Pycnogonida";"Arthropoda";"Off Cape Colbeck";"PreservedSpecimen";NA;NA;"1972";"obis";NA;-513279,449925296;-1336671,46856493;505;150,89039140625;NA;4;150,89039140625;505;4;c(-513279.449925296, -1336671.46856493)
"22";"cell_3.1021";"Endeis_viridis";"Endeis_viridis";"Endeis";"Endeidae";"Pantopoda";"Pycnogonida";"Arthropoda";"North Marion Island";"HumanObservation";NA;NA;"1976";"obis";NA;2877659,01546328;3718786,76520634;34;282,113903125;282,113903125;17;282,113903125;34;17;c(2877659.01546328, 3718786.76520634)
"23";"cell_3.1021";"Nymphon_longicoxa";"Nymphon_longicoxa";"Nymphon";"Nymphonidae";"Pantopoda";"Pycnogonida";"Arthropoda";NA;"HumanObservation";NA;NA;"2012";"obis";NA;2898065,83257042;3716034,81462511;63;165,196707226562;NA;17;165,196707226562;63;17;c(2898065.83257042, 3716034.81462511)
"24";"cell_3.1021";"Austrodecus_tristanense";"Austrodecus_tristanense";"Austrodecus";"Austrodecidae";"Pantopoda";"Pycnogonida";"Arthropoda";"Marion & Prince Edward Islands; 46 51.8' S 37 52.6' E";"HumanObservation";NA;NA;"1985";"obis";NA;2883999,4911969;3707770,14896143;7;278,2405875;NA;17;278,2405875;7;17;c(2883999.4911969, 3707770.14896143)
"25";"cell_3.1021";"Tanystylum_ornatum";"Tanystylum_ornatum";"Tanystylum";"Ammotheidae";"Pantopoda";"Pycnogonida";"Arthropoda";"Marion & Prince Edward Islands; 46ï¿½ 40.32' S 37ï¿½ 51' E";"HUMAN_OBSERVATION";"SPECIES";NA;"1988";"baq";NA;2894403,46797116;3724726,18348632;34;236,02605078125;NA;17;236,02605078125;34;17;c(2894403.46797116, 3724726.18348632)
"26";"cell_3.1021";"Endeis_viridis";"Endeis_viridis";"Endeis";"Endeidae";"Pantopoda";"Pycnogonida";"Arthropoda";"East Marion Island";"HumanObservation";NA;NA;"1976";"obis";NA;2879981,80011696;3701724,91024957;34;282,113903125;282,113903125;17;282,113903125;34;17;c(2879981.80011696, 3701724.91024957)
"27";"cell_3.1021";"Austrodecus_elegans";"Austrodecus_elegans";"Austrodecus";"Austrodecidae";"Pantopoda";"Pycnogonida";"Arthropoda";"Indian Ocean";"PreservedSpecimen";NA;"present";"1935";"obis";NA;2883707,68222904;3714975,15163672;19;278,2405875;NA;17;278,2405875;19;17;c(2883707.68222904, 3714975.15163672)
"28";"cell_3.1021";"Austrodecus_tristanense";"Austrodecus_tristanense";"Austrodecus";"Austrodecidae";"Pantopoda";"Pycnogonida";"Arthropoda";"Est";"PRESERVED_SPECIMEN";"SPECIES";"PRESENT";"1976";"baq";NA;2881488,0780483;3701207,85780702;7;278,2405875;NA;17;278,2405875;7;17;c(2881488.0780483, 3701207.85780702)
"29";"cell_3.1021";"Austrodecus_tristanense";"Austrodecus_tristanense";"Austrodecus";"Austrodecidae";"Pantopoda";"Pycnogonida";"Arthropoda";"Bullards Bay, Marion& Prince Edward Islands";"HumanObservation";NA;NA;"1988";"obis";NA;2879981,80011696;3701724,91024957;7;278,2405875;NA;17;278,2405875;7;17;c(2879981.80011696, 3701724.91024957)
"30";"cell_3.1021";"Austrodecus_elegans";"Austrodecus_elegans";"Austrodecus";"Austrodecidae";"Pantopoda";"Pycnogonida";"Arthropoda";"Est de Ile du Prince Edward";"PRESERVED_SPECIMEN";"SPECIES";"PRESENT";"1976";"gbif";NA;2909661,37727724;3715273,64260471;19;278,2405875;NA;17;278,2405875;19;17;c(2909661.37727724, 3715273.64260471)
"31";"cell_3.1021";"Tanystylum_neorhetum";"Tanystylum_neorhetum";"Tanystylum";"Ammotheidae";"Pantopoda";"Pycnogonida";"Arthropoda";NA;"HumanObservation";NA;NA;"1994";"obis";NA;2879793,38162012;3698817,96428901;50;236,02605078125;NA;17;236,02605078125;50;17;c(2879793.38162012, 3698817.96428901)
"32";"cell_3.1021";"Austrodecus_elegans";"Austrodecus_elegans";"Austrodecus";"Austrodecidae";"Pantopoda";"Pycnogonida";"Arthropoda";"Marion & Prince Edward Island; 46 59' S 37 47.5' E";"HumanObservation";NA;NA;"1985";"obis";NA;2870348,28827346;3702658,65032235;19;278,2405875;NA;17;278,2405875;19;17;c(2870348.28827346, 3702658.65032235)
"33";"cell_3.1021";"Austrodecus_elegans";"Austrodecus_elegans";"Austrodecus";"Austrodecidae";"Pantopoda";"Pycnogonida";"Arthropoda";"Marion & Prince Edward Islands; 46ï¿½ 40.25' S 37ï¿½ 50.98' E";"HUMAN_OBSERVATION";"SPECIES";"PRESENT";"1987";"gbif";NA;2894460,04143768;3724839,23977627;19;278,2405875;NA;17;278,2405875;19;17;c(2894460.04143768, 3724839.23977627)
"34";"cell_3.1021";"Rhynchothorax_australis";"Rhynchothorax_australis";"Rhynchothorax";"Rhynchothoracidae";"Pantopoda";"Pycnogonida";"Arthropoda";"Marion & Prince Edward Islands; 46ï¿½ 59' S 37ï¿½ 47.5' E";"HUMAN_OBSERVATION";"SPECIES";NA;"1988";"baq";NA;2870994,48039754;3702157,62364709;81;278,80960625;NA;17;278,80960625;81;17;c(2870994.48039754, 3702157.62364709)
"35";"cell_3.1021";"Tanystylum_neorhetum";"Tanystylum_neorhetum";"Tanystylum";"Ammotheidae";"Pantopoda";"Pycnogonida";"Arthropoda";"Marion & Prince  Edward Island; 46 59' S 37 47.5' E";"HumanObservation";NA;NA;"1985";"obis";NA;2870891,09553418;3702237,79549395;50;236,02605078125;NA;17;236,02605078125;50;17;c(2870891.09553418, 3702237.79549395)
"36";"cell_3.1021";"Austrodecus_elegans";"Austrodecus_elegans";"Austrodecus";"Austrodecidae";"Pantopoda";"Pycnogonida";"Arthropoda";"Marion & Prince Edward Islands; 46 40.32' S 37 51' E";"HumanObservation";NA;NA;"1988";"obis";NA;2894403,46797116;3724726,18348632;19;278,2405875;NA;17;278,2405875;19;17;c(2894403.46797116, 3724726.18348632)
"37";"cell_3.1021";"Tanystylum_neorhetum";"Tanystylum_neorhetum";"Tanystylum";"Ammotheidae";"Pantopoda";"Pycnogonida";"Arthropoda";"Marion & Prince Edward Islan; 46ï¿½ 39.15' S 37ï¿½ 52.2' E";"HUMAN_OBSERVATION";"SPECIES";"PRESENT";"1984";"gbif";NA;2896940,22582344;3725306,02397098;50;236,02605078125;NA;17;236,02605078125;50;17;c(2896940.22582344, 3725306.02397098)
"38";"cell_3.1021";"Pycnogonum_platylophum";"Pycnogonum_platylophum";"Pycnogonum";"Pycnogonidae";"Pantopoda";"Pycnogonida";"Arthropoda";NA;"HumanObservation";NA;NA;"2007";"obis";NA;2898065,83257042;3716034,81462511;24;196,947765625;NA;17;196,947765625;24;17;c(2898065.83257042, 3716034.81462511)
"39";"cell_3.1021";"Tanystylum_ornatum";"Tanystylum_ornatum";"Tanystylum";"Ammotheidae";"Pantopoda";"Pycnogonida";"Arthropoda";"Marion & Prince Edward Islands; 46 40.22' S 37 51.2' E";"HumanObservation";NA;NA;"1988";"obis";NA;2894725,77512716;3724698,15821798;34;236,02605078125;NA;17;236,02605078125;34;17;c(2894725.77512716, 3724698.15821798)
"40";"cell_3.1021";"Austrodecus_elegans";"Austrodecus_elegans";"Austrodecus";"Austrodecidae";"Pantopoda";"Pycnogonida";"Arthropoda";"Marion & Prince Edward Islands; 46ï¿½ 43.58' S 37ï¿½ 55.98' E";"HUMAN_OBSERVATION";"SPECIES";NA;"1987";"baq";NA;2896346,92469489;3716103,90696399;19;278,2405875;NA;17;278,2405875;19;17;c(2896346.92469489, 3716103.90696399)
"41";"cell_3.1021";"Rhynchothorax_australis";"Rhynchothorax_australis";"Rhynchothorax";"Rhynchothoracidae";"Pantopoda";"Pycnogonida";"Arthropoda";"Marion Island";"HumanObservation";NA;NA;"1976";"obis";NA;2877659,01546328;3718786,76520634;81;278,80960625;NA;17;278,80960625;81;17;c(2877659.01546328, 3718786.76520634)
"42";"cell_3.1021";"Cilunculus_kravcovi";"Cilunculus_kravcovi";"Cilunculus";"Ammotheidae";"Pantopoda";"Pycnogonida";"Arthropoda";"Marion & Prince Edward Islands; 46ï¿½ 59.75' S 38ï¿½ 00.65' E";"HUMAN_OBSERVATION";"SPECIES";"PRESENT";"1987";"gbif";NA;2884166,1423343;3689174,79458057;4;310,060025;310,060025;17;310,060025;4;17;c(2884166.1423343, 3689174.79458057)
"43";"cell_3.1021";"Endeis_viridis";"Endeis_viridis";"Endeis";"Endeidae";"Pantopoda";"Pycnogonida";"Arthropoda";"NE";"PRESERVED_SPECIMEN";"SPECIES";"PRESENT";"1976";"baq";NA;2891614,66809475;3706201,92438352;34;282,113903125;282,113903125;17;282,113903125;34;17;c(2891614.66809475, 3706201.92438352)
"44";"cell_3.1021";"Rhynchothorax_australis";"Rhynchothorax_australis";"Rhynchothorax";"Rhynchothoracidae";"Pantopoda";"Pycnogonida";"Arthropoda";"Est";"PRESERVED_SPECIMEN";"SPECIES";"PRESENT";"1976";"gbif";NA;2881488,0780483;3701207,85780702;81;278,80960625;NA;17;278,80960625;81;17;c(2881488.0780483, 3701207.85780702)
"45";"cell_3.1021";"Pseudopallene_glutus";"Pseudopallene_glutus";"Pseudopallene";"Callipallenidae";"Pantopoda";"Pycnogonida";"Arthropoda";NA;"HumanObservation";NA;NA;"2013";"obis";NA;2898065,83257042;3716034,81462511;7;150,89039140625;NA;17;222,3925828125;7;17;c(2898065.83257042, 3716034.81462511)
"46";"cell_3.1021";"Austrodecus_tristanense";"Austrodecus_tristanense";"Austrodecus";"Austrodecidae";"Pantopoda";"Pycnogonida";"Arthropoda";"Ne";"PRESERVED_SPECIMEN";"SPECIES";"PRESENT";"1976";"gbif";NA;2884227,1100024;3706060,31480692;7;278,2405875;NA;17;278,2405875;7;17;c(2884227.1100024, 3706060.31480692)
"47";"cell_3.1021";"Colossendeis_megalonyx";"Colossendeis_megalonyx";"Colossendeis";"Colossendeidae";"Pantopoda";"Pycnogonida";"Arthropoda";"Marion & Prince Edward Islands; 47ï¿½ 00.35' S 37ï¿½ 53.90' E";"HUMAN_OBSERVATION";"SPECIES";"PRESENT";"1988";"gbif";NA;2876344,55822715;3695053,45185408;451;174,545296875;NA;17;174,545296875;451;17;c(2876344.55822715, 3695053.45185408)
"48";"cell_3.1021";"Austrodecus_elegans";"Austrodecus_elegans";"Austrodecus";"Austrodecidae";"Pantopoda";"Pycnogonida";"Arthropoda";"Nord";"PRESERVED_SPECIMEN";"SPECIES";"PRESENT";"1976";"baq";NA;2891958,74944924;3714884,5891473;19;278,2405875;NA;17;278,2405875;19;17;c(2891958.74944924, 3714884.5891473)
"49";"cell_3.1021";"Austrodecus_elegans";"Austrodecus_elegans";"Austrodecus";"Austrodecidae";"Pantopoda";"Pycnogonida";"Arthropoda";"Ne";"PRESERVED_SPECIMEN";"SPECIES";"PRESENT";"1976";"gbif";NA;2884227,1100024;3706060,31480692;19;278,2405875;NA;17;278,2405875;19;17;c(2884227.1100024, 3706060.31480692)
"50";"cell_3.1021";"Endeis_viridis";"Endeis_viridis";"Endeis";"Endeidae";"Pantopoda";"Pycnogonida";"Arthropoda";"Entre Marion et Prince Ed.";"PRESERVED_SPECIMEN";"SPECIES";"PRESENT";"1976";"gbif";NA;2884172,55455305;3711119,13060389;34;282,113903125;282,113903125;17;282,113903125;34;17;c(2884172.55455305, 3711119.13060389)
"51";"cell_3.1021";"Tanystylum_ornatum";"Tanystylum_ornatum";"Tanystylum";"Ammotheidae";"Pantopoda";"Pycnogonida";"Arthropoda";NA;"HumanObservation";NA;NA;"2000";"obis";NA;2898065,83257042;3716034,81462511;34;236,02605078125;NA;17;236,02605078125;34;17;c(2898065.83257042, 3716034.81462511)
"52";"cell_3.1021";"Austrodecus_elegans";"Austrodecus_elegans";"Austrodecus";"Austrodecidae";"Pantopoda";"Pycnogonida";"Arthropoda";"north of Marion Island, Prince Edward Group";"PRESERVED_SPECIMEN";"SPECIES";"PRESENT";"1935";"baq";NA;2884127,51516662;3715957,83992177;19;278,2405875;NA;17;278,2405875;19;17;c(2884127.51516662, 3715957.83992177)
"53";"cell_3.1021";"Austrodecus_goughense";"Austrodecus_goughense";"Austrodecus";"Austrodecidae";"Pantopoda";"Pycnogonida";"Arthropoda";NA;"HumanObservation";NA;NA;"2008";"obis";NA;2898065,83257042;3716034,81462511;10;278,2405875;NA;17;278,2405875;10;17;c(2898065.83257042, 3716034.81462511)
"54";"cell_3.1021";"Austrodecus_goughense";"Austrodecus_goughense";"Austrodecus";"Austrodecidae";"Pantopoda";"Pycnogonida";"Arthropoda";"Entre Marion et Prince Ed.";"PRESERVED_SPECIMEN";"SPECIES";"PRESENT";"1976";"baq";NA;2884172,55455305;3711119,13060389;10;278,2405875;NA;17;278,2405875;10;17;c(2884172.55455305, 3711119.13060389)
"55";"cell_3.1021";"Austrodecus_goughense";"Austrodecus_goughense";"Austrodecus";"Austrodecidae";"Pantopoda";"Pycnogonida";"Arthropoda";"Est";"PRESERVED_SPECIMEN";"SPECIES";"PRESENT";"1976";"gbif";NA;2881488,0780483;3701207,85780702;10;278,2405875;NA;17;278,2405875;10;17;c(2881488.0780483, 3701207.85780702)
"56";"cell_3.1021";"Austrodecus_elegans";"Austrodecus_elegans";"Austrodecus";"Austrodecidae";"Pantopoda";"Pycnogonida";"Arthropoda";"Marion & Prince Edward Islands; 46ï¿½ 59.63' S 37ï¿½ 53.8' E";"HUMAN_OBSERVATION";"SPECIES";"PRESENT";"1987";"gbif";NA;2877003,84180901;3696113,32541435;19;278,2405875;NA;17;278,2405875;19;17;c(2877003.84180901, 3696113.32541435)
"57";"cell_3.1021";"Austrodecus_goughense";"Austrodecus_goughense";"Austrodecus";"Austrodecidae";"Pantopoda";"Pycnogonida";"Arthropoda";"NE";"PRESERVED_SPECIMEN";"SPECIES";"PRESENT";"1976";"baq";NA;2884227,1100024;3706060,31480692;10;278,2405875;NA;17;278,2405875;10;17;c(2884227.1100024, 3706060.31480692)
