""		"grids"		"richness"		"PD_obs"		"pd_rand_mean"		"pd_rand_sd"		"pd_obs_rank"		"zscore"		"pd_obs_p"		"reps"		"PD"		"SR"		"std_resid_loess"		"mpd"		"mntd"		"loess_mpd"		"loess_mntd"		"PE"		"WE"		"std_PE"		"ntaxa.x"		"mpd.obs"		"mpd.rand.mean"		"mpd.rand.sd"		"mpd.obs.rank"		"mpd.obs.z"		"mpd.obs.p"		"runs.x"		"ntaxa.y"		"mntd.obs"		"mntd.rand.mean"		"mntd.rand.sd"		"mntd.obs.rank"		"mntd.obs.z"		"mntd.obs.p"		"runs.y"		"hotspot10_stdPDloess"		"coldspot10_lstdPDloess"		"mpa"		"name"		"coldspot10_mpd"		"hotspot10_mpd"		"coldspot10_mntd"		"hotspot10_mntd"		"coldspot10_sr"		"hotspot10_sr"		"coldspot10_stdPE"		"hotspot10_stdPE"		"cluster"		"ED"		"COLOURS"		"geometry"
"1"		"cell_3.1005"		2		"400,598319760598"		"474,997656835325"		"5732,08154224347"		"142"		"-0,982681739449013"		"0,142"		999		"273,01312507281"		2		"-0,410004086426666"		"273,01312507281"		"273,01312507281"		"-1,58834506247503"		"-1,08712757274118"		"4,59823078496253"		"0,0486656200941915"		"-0,0587909878442349"		2		"273,01312507281"		"419,560041497253"		"156,6826997928"		"164"		"-0,935310130717938"		"0,164"		999		2		"273,01312507281"		"427,412507197615"		"152,241237908232"		"148"		"-1,0141758188926"		"0,148"		999		NA		NA		NA		NA		"273,01312507281"		NA		NA		NA		2		NA		NA		NA		1		0,785737450426805		"#C9A66D"		list(c(2093804.328768, 2266507.5972468, 2446059.96673331, 2259675.17293727, 2093804.328768, 3224175.92695315, 3490115.63921993, 3366712.71460005, 3110176.05416844, 3224175.92695315))
"2"		"cell_3.101"		22		"1236,74693546797"		"1525,56975316674"		"37625,7308077659"		"66"		"-1,48898056299729"		"0,066"		999		"1236,74693546797"		10		"-0,988053214040106"		"396,035868845962"		"108,368940391872"		"-0,200472522086653"		"-0,90762942312414"		"11,6409650101653"		"0,200214080086056"		"-0,127333782087657"		10		"396,035868845962"		"423,308516950994"		"36,8188496098333"		"198"		"-0,740725155566762"		"0,198"		999		10		"108,368940391872"		"205,107742502491"		"49,0072582818913"		"16"		"-1,97396886710484"		"0,016"		999		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		2		0,674155120046304		"#C3A1AE"		list(c(-439572.977127991, -558881.792928168, -634313.711982922, -498901.861426852, -439572.977127991, -1145126.75585103, -1455936.84721364, -1424691.92330533, -1120551.92733397, -1145126.75585103))
"3"		"cell_3.1019"		25		"1902,11228726152"		"1897,98992500146"		"44079,2252060751"		"498"		"0,0196349218676871"		"0,498"		999		"1902,11228726152"		14		"1,49617497661399"		"446,721454025292"		"152,535304453227"		"0,692032185591252"		"0,186626989080704"		"33,7905686376938"		"0,488828167632488"		"0,269820584759161"		14		"446,721454025292"		"424,298799832824"		"28,8496867284413"		"784"		"0,777223489583416"		"0,784"		999		14		"152,535304453227"		"174,134369591321"		"36,9376971885224"		"301"		"-0,584743142699381"		"0,301"		999		"1,49617497661399"		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		2		0,674155120046304		"#C3A1AE"		list(c(2259675.17293727, 2446059.96673331, 2618907.85587454, 2419352.40452562, 2259675.17293727, 3110176.05416844, 3366712.71460005, 3234081.86444678, 2987651.40500493, 3110176.05416844))
"4"		"cell_3.1021"		114		"2308,40895784194"		"2299,357785637"		"52441,4555830398"		"523"		"0,0395245977686157"		"0,523"		999		"2308,40895784194"		20		"1,73507921305501"		"452,75311113056"		"128,84522218647"		"0,772304557431394"		"0,191981128928565"		"331,433183014064"		"4,66771440646535"		"2,96402048413885"		19		"452,75311113056"		"422,977995270136"		"25,3804981747701"		"925"		"1,17314938640655"		"0,925"		999		19		"128,84522218647"		"153,181509781522"		"28,0338811968006"		"198"		"-0,868102687038196"		"0,198"		999		"1,73507921305501"		NA		"South_African_Exclusive_Economic_Zone_(Prince_Edward_Islands)NA"		NA		NA		NA		NA		NA		NA		NA		NA		"2,96402048413885"		2		0,674155120046304		"#C3A1AE"		list(c(2630680.37095091, 2813410.3828165, 3012216.64781878, 2816574.239175, 2630680.37095091, 3620820.90111523, 3872327.18577451, 3719777.77325896, 3478179.51912708, 3620820.90111523))
"5"		"cell_3.1033"		175		"1835,23590183303"		"1894,25649001448"		"48580,530050889"		"392"		"-0,267776467920748"		"0,392"		999		"1835,23590183303"		14		"1,05732590853011"		"442,463838919477"		"147,60776561093"		"0,625805417178944"		"0,113828046585521"		"70,4427237363401"		"0,930483343632325"		"1,18534428118909"		14		"442,463838919477"		"424,599372244447"		"29,002342141521"		"691"		"0,615966344644098"		"0,691"		999		14		"147,60776561093"		"176,080062277562"		"36,5295046205706"		"212"		"-0,779432871109856"		"0,212"		999		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		"1,18534428118909"		2		0,674155120046304		"#C3A1AE"		list(c(2419352.40452562, 2618907.85587454, 2784577.50062088, 2572398.35934029, 2419352.40452562, 2987651.40500493, 3234081.86444678, 3092586.62070134, 2856937.81100941, 2987651.40500493))
"6"		"cell_3.1034"		11		"1101,61525801275"		"1076,66802919789"		"26202,4899338921"		"533"		"0,154117171194804"		"0,533"		999		"1101,61525801275"		6		"0,725449603769228"		"458,239739388912"		"215,480663696476"		"0,849899953288098"		"-0,273467680651412"		"58,5445037036821"		"0,754290314140545"		"1,04200185234984"		6		"458,239739388912"		"425,074247947828"		"53,2948205878244"		"711"		"0,622302337737125"		"0,711"		999		6		"215,480663696476"		"261,477282771777"		"74,2224395444907"		"269"		"-0,619713113144562"		"0,269"		999		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		"1,04200185234984"		2		0,674155120046304		"#C3A1AE"		list(c(2618907.85587454, 2816574.239175, 2994748.07318719, 2784577.50062088, 2618907.85587454, 3234081.86444678, 3478179.51912708, 3326004.6888423, 3092586.62070134, 3234081.86444678))
"7"		"cell_3.1047"		69		"1737,31111973633"		"1820,63976872588"		"45527,512907606"		"342"		"-0,390532676239841"		"0,342"		999		"1737,31111973633"		13		"0,841661784917239"		"447,923723302595"		"141,438534658984"		"0,688198837048164"		"-0,0609633959353114"		"19,0569766182344"		"0,301122535369738"		"-0,0144834323530099"		13		"447,923723302595"		"424,835770237457"		"30,0700360321884"		"769"		"0,767805966059482"		"0,769"		999		13		"141,438534658984"		"181,400542242732"		"39,1174998660741"		"161"		"-1,02158900033401"		"0,161"		999		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		2		0,674155120046304		"#C3A1AE"		list(c(2572398.35934029, 2784577.50062088, 2942614.81199162, 2718393.54905722, 2572398.35934029, 2856937.81100941, 3092586.62070134, 2942614.81199162, 2718393.54905722, 2856937.81100941))
"8"		"cell_3.1063"		3		"664,690076986133"		"650,63132139101"		"11579,0423453673"		"481"		"0,130650344705935"		"0,481"		999		"664,690076986133"		3		"0,372503042196036"		"443,126717990755"		"358,069921532128"		"0,909582349434082"		"0,654691270957267"		"67,7780518234925"		"0,495058400718778"		"2,1632945311224"		3		"443,126717990755"		"426,72835585974"		"97,6464254997355"		"445"		"0,167936123079692"		"0,445"		999		3		"358,069921532128"		"354,805128151328"		"123,214374845011"		"434,5"		"0,0264968546479021"		"0,4345"		999		NA		NA		"Crozet_Islands_Exclusive_Economic_ZoneNA"		NA		NA		NA		NA		"358,069921532128"		3		NA		NA		"2,1632945311224"		1		0,785737450426805		"#C9A66D"		list(c(3164713.51089315, 3384538.06418454, 3557032.70842549, 3326004.6888423, 3164713.51089315, 3164713.51089315, 3384538.06418454, 3202766.63636601, 2994748.07318719, 3164713.51089315))
"9"		"cell_3.1071"		41		"1843,10112675414"		"2364,73191525363"		"60905,4606999035"		"18"		"-2,1136598642224"		"0,018"		999		"1843,10112675414"		20		"-1,31831409964697"		"396,201229514522"		"90,4810787110148"		"-0,107354189069816"		"-0,374806706567152"		"19,1581532023584"		"0,392143660311205"		"-0,284370199294798"		20		"396,201229514522"		"425,266593036687"		"23,5160113948654"		"104"		"-1,23598186078917"		"0,104"		999		20		"90,4810787110148"		"149,742819886775"		"26,5145213623405"		"12"		"-2,23506735671012"		"0,012"		999		NA		"-1,31831409964697"		NA		NA		NA		NA		"90,4810787110148"		NA		NA		NA		NA		NA		2		0,674155120046304		"#C3A1AE"		list(c(1895329.69026497, 2138246.84568776, 2236078.14218024, 1982046.78808427, 1895329.69026497, 1706562.51839235, 1925286.10756436, 1810740.37651391, 1605029.84203609, 1706562.51839235))
"10"		"cell_3.1077"		51		"1693,24041761767"		"1725,16113786935"		"39213,3540212611"		"423"		"-0,1611965293571"		"0,423"		999		"1693,24041761767"		12		"1,00302076143781"		"447,756675364991"		"160,992428429391"		"0,661342012053077"		"0,13161472691111"		"33,9927492486046"		"0,673488009021739"		"-0,150474476703157"		12		"447,756675364991"		"423,983163702156"		"32,7952085120612"		"759"		"0,724908080828086"		"0,759"		999		12		"160,992428429391"		"187,783963051812"		"41,9572617472681"		"270"		"-0,638543448898105"		"0,27"		999		NA		NA		"Crozet_Islands_Exclusive_Economic_ZoneNA"		NA		NA		NA		NA		NA		NA		NA		NA		NA		2		0,674155120046304		"#C3A1AE"		list(c(3326004.6888423, 3557032.70842549, 3719777.77325896, 3478179.51912708, 3326004.6888423, 2994748.07318719, 3202766.63636601, 3012216.64781879, 2816574.239175, 2994748.07318719))
"11"		"cell_3.1078"		85		"2079,41011463609"		"1905,76431339847"		"44418,2559995637"		"793"		"0,823917135293038"		"0,793"		999		"2079,41011463609"		14		"2,65961982815781"		"457,896431669792"		"191,484185717516"		"0,86585782226382"		"0,762053679393501"		"33,6452832464493"		"0,448659938541495"		"0,366654111784225"		14		"457,896431669792"		"423,958053454727"		"29,1088710858932"		"925"		"1,16591186634894"		"0,925"		999		14		"191,484185717516"		"175,533612003486"		"37,343304042944"		"667"		"0,42713343456935"		"0,667"		999		"2,65961982815781"		NA		"Crozet_Islands_Exclusive_Economic_ZoneNA"		NA		NA		NA		NA		NA		NA		NA		NA		NA		2		0,674155120046304		"#C3A1AE"		list(c(3557032.70842549, 3785514.62291905, 3958713.4302496, 3719777.77325896, 3557032.70842549, 3202766.63636601, 3408492.67622493, 3205702.92781076, 3012216.64781879, 3202766.63636601))
