"";"grids";"richness";"PD_obs";"pd_rand_mean";"pd_rand_sd";"pd_obs_rank";"zscore";"pd_obs_p";"reps";"PEW";"PE";"WE";"std_PE";"PD";"SR";"std_resid_loess";"mpd";"mntd";"std_mpd";"std_mntd";"ntaxa.x";"mpd.obs";"mpd.rand.mean";"mpd.rand.sd";"mpd.obs.rank";"mpd.obs.z";"mpd.obs.p";"runs.x";"ntaxa.y";"mntd.obs";"mntd.rand.mean";"mntd.rand.sd";"mntd.obs.rank";"mntd.obs.z";"mntd.obs.p";"runs.y";"hotspot10_stdPD";"coldspot10_loess_PD";"mpa";"name";"hotspot5_loess_PD";"coldspot5_loess_PD";"hotspot2.5_loess_PD";"coldspot2.5_loess_PD";"hotspot10_mpd";"coldspot10_mpd";"hotspot5_mpd";"coldspot5_mpd";"hotspot2.5_mpd";"coldspot2.5_mpd";"hotspot10_mntd";"coldspot10_mntd";"hotspot5_mntd";"coldspot5_mntd";"hotspot2.5_mntd";"coldspot2.5_mntd";"hotspot10_sr";"coldspot10_sr";"hotspot5_sr";"coldspot5_sr";"hotspot2.5_sr";"coldspot2.5_sr";"coldspot10_stdPE";"hotspot10_stdPE";"coldspot5_stdPE";"hotspot5_stdPE";"coldspot2.5_stdPE";"hotspot2.5_stdPE";"geometry"
"1";"cell_3.1000";9;1583,35845;2195,60432057057;72623,1541942927;15;-2,27189528852548;0,015;999;36,4431831013725;36,4431831013725;0,240817901234568;-0,163803868827413;1543,18385;7;-1,48013921497866;554,16139047619;289,434885714286;-1,21314833652866;-0,925230358269668;7;554,16139047619;742,091557262024;62,1036851298968;11;-3,02607110017314;0,011;999;7;289,434885714286;475,270372014872;117,757476748998;61;-1,57812048483934;0,061;999;NA;-1,48013921497866;NA;NA;NA;NA;NA;NA;NA;554,16139047619;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;list(c(1210008.6882869, 1389057.01574133, 1499097.89044706, 1305865.38311779, 1210008.6882869, 1863249.98500425, 2138960.23128092, 2063331.23342781, 1797369.50389249, 1863249.98500425))
"2";"cell_3.101";12;1729,0119;1434,52706236236;38933,3056571981;992;1,49245862169181;0,992;999;23,4522820728734;23,4522820728734;0,0835691346108013;0,183382230443454;1729,0119;4;1,3448433140685;867,830066666667;844,41865;1,3747562318862;2,20874895490886;4;867,830066666667;740,658313947281;101,906900752184;956;1,24792091390004;0,956;999;4;844,41865;580,922163338338;167,437175879223;950,5;1,57370360123446;0,9505;999;1,3448433140685;NA;NA;NA;NA;NA;NA;NA;867,830066666667;NA;867,830066666667;NA;NA;NA;844,41865;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;list(c(-439572.977127991, -558881.792928168, -634313.711982922, -498901.861426852, -439572.977127991, -1145126.75585103, -1455936.84721364, -1424691.92330533, -1120551.92733397, -1145126.75585103))
"3";"cell_3.1021";77;4858,87495;4150,60716946947;127686,606203738;980;1,9820965882565;0,98;999;860,475255593711;860,475255593711;4,83079073339763;5,74646766309075;4858,87495;17;2,64373534162701;800,703247794118;459,656335294118;0,543847079076391;0,952266267611725;17;800,703247794118;741,106226519902;35,5265536441865;988;1,67753455263646;0,988;999;17;459,656335294118;346,632786115527;49,3911232914267;984;2,28833728910573;0,984;999;2,64373534162701;NA;"South_African_Exclusive_Economic_Zone_(Prince_Edward_Islands)NA";NA;2,64373534162701;NA;2,64373534162701;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5,74646766309075;NA;5,74646766309075;NA;5,74646766309075;list(c(2630680.37095091, 2813410.3828165, 3012216.64781878, 2816574.239175, 2630680.37095091, 3620820.90111523, 3872327.18577451, 3719777.77325896, 3478179.51912708, 3620820.90111523))
"4";"cell_3.1047";19;1904,41955;1969,69418498498;68880,2319321697;384;-0,248712235754335;0,384;999;154,606019423663;154,606019423663;1,40780022446689;-1,06657740806729;1884,18965;6;0,229990094659599;755,796446666667;415,1745;0,369532678816603;-0,238937901748551;6;755,796446666667;745,049792839506;68,0281884869703;496;0,157973541059658;0,496;999;6;415,1745;507,174335719052;127,280963760988;256,5;-0,722809075297484;0,2565;999;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-1,06657740806729;NA;NA;NA;NA;NA;list(c(2572398.35934029, 2784577.50062088, 2942614.81199162, 2718393.54905722, 2572398.35934029, 2856937.81100941, 3092586.62070134, 2942614.81199162, 2718393.54905722, 2856937.81100941))
"5";"cell_3.1056";37;4331,62895;4989,61268183183;148447,68531617;46;-1,70776630715732;0,046;999;179,809268976252;179,809268976252;1,54628587770762;-0,880302486676604;4331,62895;22;-1,44435008197165;698,504977489177;267,457718181818;-0,285600618009099;-0,275777730952843;22;698,504977489177;741,244423913957;30,8680856317677;92;-1,3845836419734;0,092;999;22;267,457718181818;324,889760656111;38,2464354757611;64;-1,50163124379762;0,064;999;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0,880302486676604;NA;NA;NA;NA;NA;list(c(1570958.55011329, 1803417.62550741, 1895329.69026497, 1651023.22395657, 1570958.55011329, 1570958.55011329, 1803417.62550741, 1706562.51839235, 1486587.98808015, 1570958.55011329))
"6";"cell_3.1063";6;1359,82835;1437,9576495996;41753,8930690762;291;-0,382353829010235;0,291;999;236,051015860574;236,051015860574;1,32417582417582;1,4699719709096;1339,59845;4;0,175921989651245;731,282283333333;485,35005;0,321008210156964;-0,291344706121384;4;731,282283333333;741,20115642309;104,325143756566;299,5;-0,0950765341181916;0,2995;999;4;485,35005;587,51407032032;166,204224651732;237;-0,614689671904531;0,237;999;NA;NA;"Crozet_Islands_Exclusive_Economic_ZoneNA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,4699719709096;NA;1,4699719709096;NA;NA;list(c(3164713.51089315, 3384538.06418454, 3557032.70842549, 3326004.6888423, 3164713.51089315, 3164713.51089315, 3384538.06418454, 3202766.63636601, 2994748.07318719, 3164713.51089315))
"7";"cell_3.1071";50;4659,649;4653,59905895896;132036,266403256;514;0,016649627620464;0,514;999;148,280925539588;148,280925539588;0,946652176907583;0,35513809943567;4659,649;20;0,506940437016671;737,427732631579;326,496875;0,023552644552741;0,0950547064738567;20;737,427732631579;739,55923174701;32,8959780804058;401;-0,0647951281527883;0,401;999;20;326,496875;332,261629394394;41,2648296499062;441;-0,139701398098647;0,441;999;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;list(c(1895329.69026497, 2138246.84568776, 2236078.14218024, 1982046.78808427, 1895329.69026497, 1706562.51839235, 1925286.10756436, 1810740.37651391, 1605029.84203609, 1706562.51839235))
"8";"cell_3.1077";45;4020,8361;3977,53594424424;119069,138710912;546;0,125484432950031;0,546;999;437,379535138409;437,379535138409;3,08418982977807;0,490436940045384;4020,8361;16;0,671379379154022;772,30819;343,08081875;0,340013391709867;0,121463084498093;16;772,30819;739,970636177845;36,8090734645336;814;0,878521266049075;0,814;999;16;343,08081875;352,44034375;51,6181559754079;438;-0,181322343333208;0,438;999;NA;NA;"Crozet_Islands_Exclusive_Economic_ZoneNA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;list(c(3326004.6888423, 3557032.70842549, 3719777.77325896, 3478179.51912708, 3326004.6888423, 2994748.07318719, 3202766.63636601, 3012216.64781879, 2816574.239175, 2994748.07318719))
"9";"cell_3.1078";72;4223,0525;4303,64429604605;134840,288307531;407;-0,219472948516873;0,407;999;363,165202350367;363,165202350367;2,80057717081478;-0,467807330112557;4223,0525;18;0,207647473981121;706,305566666667;324,71795;-0,197661425608306;0,0315864423126906;18;706,305566666667;740,496062841927;33,0721281014779;146;-1,03381602993163;0,146;999;18;324,71795;341,499742881771;44,3863061462724;369;-0,378084917146906;0,369;999;NA;NA;"Crozet_Islands_Exclusive_Economic_ZoneNA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;list(c(3557032.70842549, 3785514.62291905, 3958713.4302496, 3719777.77325896, 3557032.70842549, 3202766.63636601, 3408492.67622493, 3205702.92781076, 3012216.64781879, 3202766.63636601))
"10";"cell_3.1085";55;6248,9293;6358,61990370371;151556,774379699;400;-0,281761564423895;0,4;999;211,952079981953;211,952079981953;1,55166339403969;-0,0180423609262761;6248,9293;31;0,215261903409851;744,597261075269;283,922135483871;0,0711574730335405;-0,0450330482569405;31;744,597261075269;740,354013368422;24,7688090699328;515;0,171314159468308;0,515;999;31;283,922135483871;299,109938854984;27,9352918243437;281;-0,543677992219071;0,281;999;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;list(c(1982046.78808427, 2236078.14218024, 2327780.50391289, 2063331.23342781, 1982046.78808427, 1605029.84203609, 1810740.37651391, 1691231.53195446, 1499097.89044706, 1605029.84203609))
